sentence	score
Orderliness unfolds into new truth	1
From an earlier tweet… “ To be scientifically literate is to empower yourself… . ” Weekly image & link to a T-shirt . Conceived & designed by fans . Approved by me . After fees to the artist , proceeds go to educational organizations .	0
Perception fears the flow of truth	1
Santa knows Physics :	0
"Bell wrote : "" African Americans must confront and conquer the otherwise deadening reality of our permanent subordinate status . Only in this way can we prevent ourselves from being dragged down by society’s racial hostility . """	0
As you drive anywhere , make each time you stop a cue for you to say ‘thank you . ’	0
Evolution is inextricably connected to total acceptance of mortality	1
Orderliness relies on irrational success	1
The secret of the universe meditates on a symbolic representation of boundaries	1
Your job is an inside one . To change your world , all you have to do is change the way you feel inside . Change the way you feel now !	1
The key to joy expresses quantum phenomena	1
Whatever it is that is now presenting itself as part of your creation , own it , claim it , bless it , be thankful for it .	1
1500 omicron cases in a week at Cornell . Over 8% of the student body (despite 97% vaccination rate , and indoor masking) is now infected . I feel awful for my students . And the county is now one of the worst hotspots in the country .	0
Reincarnation is Now	1
Greatness opens irrational external reality	1
Freedom is the ground of humble brightness	1
Join me for a metahuman meditation this Saturday 5PM ET with the MetaSeva team metahuman in the Metaverse sevalove	0
Is it too much to hope that El will come out as a lesbian and Pen will get the love she deserves (yes , even as a small fat woman) on the next season of Bridgerton ? Yes but girl can dream	0
"There is no "" death . "" Life goes on forever & ever . Life Is . You simply change form ."	0
You are the one who lines things up for you , so dwell on what you want .	0
Orderliness influences great reality	1
In the western skies of this November eve , all around World , the thinnest of crescent moons graces early twilight , where Venus & Jupiter have been for days . But now Saturn’s there too , closest of the three to the Moon , for what Astro-folk call a quadruple conjunction .	0
Kittens are sterile	0
For those who are tempted to assume there must be some tragedy or trauma in the shooter's own background , just remember : it is overwhelmingly boys and men who commit these crimes , not girls and women and non-binary people . The common thread is a potent sense of male entitlement .	0
Remember to keep checking how you are feeling during the day . Check the feeling in your body , too , & make sure your body is relaxed .	0
Awareness illuminates a jumble of genes	1
"Repeat these "" I Am "" affirmations to help shift your mindset and create positive change in your life"	0
Remember first that everything you think , say & do is a reflection of what you've decided about yourself .	0
True identity is the foundation of visible marvel	1
FYI : An average comet contains as much water as has ever been consumed by all humans who have ever lived . FYI : A garden-variety metallic asteroid contains vastly more gold than has ever been mined in the history of the world .	0
Existence co-creates sub empirical images	1
Harnessing your thoughts , exercising control , is not as difficult as it might seem . It is all a matter of discipline . It is a question of intent .	1
Dear Friends I do hope you can join me for this important event by Resurgence_mag	0
Peek at the Math ? Not quite Tribbles , but with unlimited access to food and no predators , rabbits can increase their population by as much as 30% per month — a factor of 1 . 3 . Raise that 1 . 3 to the power of how many months you want to project forward .	0
You must look for good in people to have more of it appear . As you look for the good , you will be amazed what your new focus reveals .	0
Remember that every act is an act of self-definition . Every thought carries the energy of creation .	0
Decide what you want - before a meeting , before a phone call , before your day starts , before you do anything . Decide !	0
Emotional intelligence is the continuity of intrinsic brightness	1
Prosperity is your birth right . You hold the key to more abundance in every area of your life than you can possibly imagine .	1
Perception influences an abundance of balance	1
You do not have to create what you want - it already exists . That is why the moment you ask and believe , it truly is given to you .	1
The future is the path to great molecules	1
True faith constructs existential marvel	1
Of course younger people are more concerned than older people about Climate Change . In decades to come , they’re the ones who must live in the World that the rest of us have borrowed from them .	0
True identity is the wisdom of intrinsic observations	1
The secret of the universe reflects an abundance of boundaries	1
Fantastic conversation !	1
But wishing it were otherwise doesn't change the facts . No matter how much I (extensively ! ) went low carb , did intermittent fasting , or tried this once weird trick , for years of my life , I will never have a socially ideal body . Only starvation will begin to push me (a bit) closer	0
Awareness is mirrored in the flow of images	1
Your consciousness comprehends total acceptance of mysteries	1
The invisible imparts reality to the door of space time events	1
Prosperity is your birthright , and you hold the key to more abundance . That key is in your thoughts and feelings .	1
Each of us grows through a jumble of chaos	1
Since the Northern Arctic is just ocean , Santa’s North Pole workshop has only ever existed on a floating sheet of ice .	0
Each day , make sure to do something that is your idea of bliss .	1
